ID,Title_lang,BodyText_lang
28187,Section 11,
28189,Section 10,
28190,Section 12,
28191,Section 14,
28195,Damage Dealers,"$bullet; Standing near dormant Tainted Lashers when |cFF2959D3|Hspell:421971|h[Controlled Burn]|h|r expires causes them to activate.
$bullet; |cFF2959D3|Hspell:421038|h[Ember-Charred]|h|r players can ignite |cFF2959D3|Hspell:425648|h[Doom Roots]|h|r by touching them.
$bullet; Gnarlroot takes 100% increased damage when afflicted by |cFF2959D3|Hspell:424734|h[Uprooted Agony]|h|r."
28196,Tanks,"$bullet; |cFF2959D3|Hspell:424352|h[Dreadfire Barrage]|h|r inflicts significant damage and increases Shadowflame damage taken.
$bullet; When awakened, Tainted Lashers attack nearby players.
$bullet; |cFF2959D3|Hspell:421038|h[Ember-Charred]|h|r players can ignite |cFF2959D3|Hspell:425648|h[Doom Roots]|h|r by touching them."
28197,Section 126,
28198,Section 9,
28199,Section 18,
28200,Section 19,
28201,Section 20,
28202,Overview,"High Speaker Eirich begins the encounter by tearing open 2 |cFF2959D3|Hspell:427315|h[Void Rift]|h|r. Periodically, the High Speaker will afflict players with |cFF2959D3|Hspell:427329|h[Void Corruption]|h|r which can only be removed by moving close to an active |cFF2959D3|Hspell:427315|h[Void Rift]|h|r."
28203,Tanks,"$bullet; The damage of |cFF2959D3|Hspell:427329|h[Void Corruption's]|h|r increases over time until it is removed.
$bullet; Touching the center of a |cFF2959D3|Hspell:427315|h[Void Rift]|h|r inflicts lethal damage."
28204,Damage Dealers,"$bullet; The damage of |cFF2959D3|Hspell:427329|h[Void Corruption's]|h|r increases over time until it is removed.
$bullet; Touching the center of a |cFF2959D3|Hspell:427315|h[Void Rift]|h|r inflicts lethal damage."
28205,Healers,"$bullet; The damage of |cFF2959D3|Hspell:427329|h[Void Corruption's]|h|r increases over time until it is removed.
$bullet; Touching the center of a |cFF2959D3|Hspell:427315|h[Void Rift]|h|r inflicts lethal damage."
28206,Section 8,"$[!23

On Mythic difficulty, Void Rifts move to a new location upon consuming |cFF2959D3|Hspell:427329|h[Void Corruption]|h|r.$]"
28208,Section 6,
28210,Section 8,
28211,Section 9,
28213,Section 9,"$[!15

In Heroic difficulty, when Overheated expires Flame Waves spawn around the target.$]"
28214,Section 16,
28215,Section 12,
28216,Lady Naz'jar's Elite Guard,
28217,Summon Geyser,
28218,Section 17,
28219,Section 13,
28220,Section 13,
28221,Section 14,
28222,Section 10,
28228,Tanks,"$bullet; |cFF2959D3|Hspell:426154|h[Threaded Blast]|h|r inflicts substantial Physical and Nature damage.
$bullet; |cFF2959D3|Hspell:423842|h[Verdant Rend]|h|r inflicts substantial Nature damage to all players when a Cycle Warden crosses |cFF2959D3|Hspell:418423|h[Verdant Matrix]|h|r.
$bullet; |cFF2959D3|Hspell:427722|h[Weaver's Burden]|h|r detonates upon removal inflicting damage to nearby players."
28230,Damage Dealers,"$bullet; Standing near dormant Tainted Lashers and Tainted Treants when |cFF2959D3|Hspell:421971|h[Controlled Burn]|h|r expires causes them to activate.
$bullet; |cFF2959D3|Hspell:421038|h[Ember-Charred]|h|r players can ignite |cFF2959D3|Hspell:425648|h[Doom Roots]|h|r by touching them.
$bullet; Gnarlroot takes 100% increased damage when afflicted by |cFF2959D3|Hspell:424734|h[Uprooted Agony]|h|r."
28232,Damage Dealers,"$bullet;|cFF2959D3|Hspell:417666|h[Fiery Treants]|h|r transform into |cFF2959D3|Hspell:417667|h[Charred Treants]|h|r and |cFF2959D3|Hspell:418657|h[Scorching Brambles]|h|r transform into |cFF2959D3|Hspell:418655|h[Charred Brambles]|h|r when killed.
$bullet;|cFF2959D3|Hspell:418653|h[Renewed Bramble Barriers]|h|r drastically reduce damage taken from |cFF2959D3|Hspell:417634|h[Raging Inferno]|h|r.
$bullet;|cFF2959D3|Hspell:425249|h[Dream Blossom]|h|r douses |cFF2959D3|Hspell:417610|h[Burning Ground]|h|r and |cFF2959D3|Hspell:418654|h[Scorching Roots]|h|r."
28233,Healers,"$bullet;|cFF2959D3|Hspell:417667|h[Charred Treants]|h|r transform into |cFF2959D3|Hspell:417668|h[Renewed Treants]|h|r and |cFF2959D3|Hspell:418655|h[Charred Brambles]|h|r transform into |cFF2959D3|Hspell:418653|h[Renewed Bramble Barriers]|h|r when healed to full.
$bullet;|cFF2959D3|Hspell:418653|h[Renewed Bramble Barriers]|h|r drastically reduce damage taken from |cFF2959D3|Hspell:417634|h[Raging Inferno]|h|r.
$bullet;|cFF2959D3|Hspell:425249|h[Dream Blossom]|h|r douses |cFF2959D3|Hspell:417610|h[Burning Ground]|h|r and |cFF2959D3|Hspell:418654|h[Scorching Roots]|h|r.
$bullet;|cFF2959D3|Hspell:421326|h[Flash Fire]|h|r-afflicted players become |cFF2959D3|Hspell:427306|h[Encased in Ash]|h|r if the absorb expires."
28234,Section 52,
28235,Ink of Ozumat,
28236,Section 8,
28237,Section 9,
28238,Ozumat,
28239,Section 11,
28240,Servants of Filth,
28241,Sludge,
28242,Section 15,
28243,Section 14,
28244,Splotch,
28245,Section 17,
28246,Neptulon,
28247,Section 19,
28248,Section 20,
28249,Section 11,"$[!16

In Mythic difficulty, targets afflicted with Cauterizing Wound that are hit by Flame Waves create additional Flame Waves.$]"
28250,Section 12,
28251,Section 8,"$[!15

In Heroic difficulty, the primary target of Brand of Damnation is afflicted with Searing Aftermath.$]"
28252,Section 11,
28253,Section 12,
28254,Section 34,
28255,Section 15,
28256,Section 21,
28257,Section 10,
28259,Section 10,
28260,Burning Colossus,
28261,Section 10,
28262,Section 10,
28263,Section 10,
28264,Section 22,
28265,Section 53,
28266,Section 10,
28267,Section 10,
28268,Section 21,
28269,Section 22,
28270,Section 16,
28271,Healers,"$bullet;When Yalnu uses |cFF2959D3|Hspell:169613|h[Genesis]|h|r, step on any sprouting lashers to |cFF2959D3|Hspell:173536|h[Trample]|h|r them and prevent them from becoming full-grown.
$bullet;|cFF2959D3|Hspell:169179|h[Colossal Blow]|h|r inflicts heavy group-wide damage.
$bullet;Flourishing Ancients cast |cFF2959D3|Hspell:428948|h[Vibrant Flourish]|h|r, inflicting continuous group-wide damage."
28272,Section 10,
28273,Section 10,
28274,Section 10,
28275,Section 32,
28276,Section 40,
28277,Section 56,
28278,Section 22,
28280,Section 59,
28281,Section 21,
28282,Section 22,
28283,Section 23,
28285,Section 9,
28286,Section 10,
28289,Section 11,
28290,Section 28,
28291,Section 28,
28292,Section 124,
28293,Section 124,
28295,Section 127,
28296,Section 128,
28297,Section 11,
28302,Section 21,
28303,Section 22,
28304,Section 23,
28305,Deep Sea Murloc,
28306,Section 16,
28308,Section 31,"$[!15

In Heroic difficulty, Lumbering Slam causes Surging Growths to sprout.$]"
28309,Section 32,
28310,Overview,"When Lady Naz'jar reaches $75683s3% and $75683s4% remaining health, she summons her Elite Guard and begins to channel High Tide.  

While channeling High Tide Lady Naz'jar is immune to damage and causes geysers to erupt throughout the arena periodically until her guards are defeated."
28311,Tanks,"$bullet;Lady Naz'jar maintains |cFF2959D3|Hspell:75683|h[High Tide]|h|runtil her guards are defeated.
$bullet;Naz'jar Frost Witch's |cFF2959D3|Hspell:428103|h[Frostbolt]|h|r reduces movement speed."
28312,Healers,"$bullet;|cFF2959D3|Hspell:428041|h[Shock Blast]|h|r inflicts high damage to the primary target and causes |cFF2959D3|Hspell:428048.|h[Shock Orbs]|h|r to scatter in all directions from their location.
$bullet;|cFF2959D3|Hspell:428376|h[Focused Tempest]|h|r inflicts moderate damage to multiple players over its duration."
28313,Damage Dealers,"$bullet;Lady Naz'jar maintains |cFF2959D3|Hspell:75683|h[High Tide]|h|runtil her guards are defeated.
$bullet;|cFF2959D3|Hspell:428041|h[Shock Blast]|h|r inflicts high damage to the primary target and causes |cFF2959D3|Hspell:428048.|h[Shock Orbs]|h|r to scatter in all directions from their location.
$bullet;Naz'jar Frost Witch's |cFF2959D3|Hspell:428103|h[Frostbolt]|h|r reduces movement speed."
28314,Overview,Commander Ulthok creates pools of Bubbling Ooze throughout the arena and then uses |cFF2959D3|Hspell:427456|h[Awaken Ooze]|h|r to make them pursue players.
28315,Tanks,"$bullet;|cFF2959D3|Hspell:427451|h[Congealed Ooze]|h|r are knocked back when attacked.
$bullet;|cFF2959D3|Hspell:427670|h[Crushing Claw]|h|r increases Physical damage taken.
$bullet;|cFF2959D3|Hspell:427668|h[Festering Shockwave]|h|r knocks players away."
28316,Healers,"$bullet;|cFF2959D3|Hspell:427451|h[Congealed Ooze]|h|r are knocked back when attacked.
$bullet;|cFF2959D3|Hspell:427670|h[Crushing Claw]|h|r increases Physical damage taken.
$bullet;|cFF2959D3|Hspell:427668|h[Festering Shockwave]|h|r inflicts moderate damage knocks players away."
28317,Damage Dealers,"$bullet;|cFF2959D3|Hspell:427451|h[Congealed Ooze]|h|r are knocked back when attacked.
$bullet;|cFF2959D3|Hspell:427668|h[Festering Shockwave]|h|r knocks players away."
28318,Overview,"Ozumat summons the Ink of Ozumat to attack players and pollute the arena. Neptulon grants players |cFF2959D3|Hspell:428674|h[Cleansing Flux]|h|r with the power to purify |cFF2959D3|Hspell:428404|h[Blotting Darkness]|h|r.

Once the Ink of Ozumat has been purged, Neptulon empowers himself and his allies with the |cFF2959D3|Hspell:428952|h[Tidal Surge]|h|r to banish Ozumat."
28319,Tanks,"$bullet;Players under the effects of |cFF2959D3|Hspell:428674|h[Cleansing Flux]|h|r  purify pools of |cFF2959D3|Hspell:428404|h[Blotting Darkness]|h|r while standing in them.
$bullet;Sludge create pools of |cFF2959D3|Hspell:428404|h[Blotting Darkness]|h|r when defeated.
$bullet;Ink of Ozumat will use |cFF2959D3|Hspell:428889|h[Foul Bolt]|h|r when there are no melee targets in range."
28320,Healers,"$bullet;Players under the effects of |cFF2959D3|Hspell:428674|h[Cleansing Flux]|h|r  purify pools of |cFF2959D3|Hspell:428404|h[Blotting Darkness]|h|r while standing in them.
$bullet;|cFF2959D3|Hspell:428399|h[Blotting Barrage]|h|r inflicts moderate damage and creates pools of |cFF2959D3|Hspell:428404|h[Blotting Darkness]|h|r upon impact."
28321,Damage Dealers,"$bullet;Players under the effects of |cFF2959D3|Hspell:428674|h[Cleansing Flux]|h|r  purify pools of |cFF2959D3|Hspell:428404|h[Blotting Darkness]|h|r while standing in them.
$bullet;Sludge create pools of |cFF2959D3|Hspell:428404|h[Blotting Darkness]|h|r when defeated.
$bullet;|cFF2959D3|Hspell:428399|h[Blotting Barrage]|h|r creates pools of |cFF2959D3|Hspell:428404|h[Blotting Darkness]|h|r upon impact."
28322,Overview,Erunak attacks players while Mindbender Ghur'sha has control over him. Upon reaching $419956s2% remaining health Mindbender Ghur'sha loses control of Erunak and attacks players directly.
28323,Tanks,"$bullet;|cFF2959D3|Hspell:429037|h[Stormflurry Totem]|h|r grants Erunak increased damage until defeated.
$bullet;|cFF2959D3|Hspell:429172|h[Terrifying Vision]|h|r inflicts damage and Fears all players in line of sight."
28324,Healers,"$bullet;|cFF2959D3|Hspell:429037|h[Stormflurry Totem]|h|r grants Erunak increased damage until defeated.
$bullet;|cFF2959D3|Hspell:429172|h[Terrifying Vision]|h|r inflicts damage and Fears all players in line of sight."
28325,Damage Dealers,"$bullet;|cFF2959D3|Hspell:429037|h[Stormflurry Totem]|h|r grants Erunak increased damage until defeated.
$bullet;|cFF2959D3|Hspell:429172|h[Terrifying Vision]|h|r inflicts damage and Fears all players in line of sight."
28326,Overview,"As a master shapeshifter, Tindral assaults players in various Druid forms.

In his humanoid form, Tindral roots players with |cFF2959D3|Hspell:424495|h[Mass Entanglement]|h|r and bombards players with |cFF2959D3|Hspell:420236|h[Falling Stars]|h|r.

Shapeshifting into his Moonkin form, Tindral unleashes |cFF2959D3|Hspell:420240|h[Sunflame]|h|r on all players and summons |cFF2959D3|Hspell:421398|h[Fire Beam]|h|r that scorches the platform.

As the Treant of the Flame, Tindral pulses |cFF2959D3|Hspell:424579|h[Suppressive Ember]|h|r and sears players with |cFF2959D3|Hspell:423266|h[Flaming Germination]|h|r.

Becoming the Owl of the Flame leaves behind |cFF2959D3|Hspell:422509|h[Empowered Feather]|h|r, allowing players to dragonride within The Blessed Boughs."
28327,Tanks,"$bullet; |cFF2959D3|Hspell:421992|h[Searing Wrath]|h|r is applied on every melee strike and stacks.
$bullet; |cFF2959D3|Hspell:423260|h[Blazing Mushroom]|h|r inflicts high damage to all players if it fails to hit a player.
$bullet; |cFF2959D3|Hspell:421398|h[Fire Beam]|h|r inflicts Fire damage to players within."
28328,Tanks,"$bullet; |cFF2959D3|Hspell:421992|h[Searing Wrath]|h|r is applied on every melee strike and stacks.
$bullet; |cFF2959D3|Hspell:423260|h[Blazing Mushroom]|h|r and |cFF2959D3|Hspell:426686|h[Poisonous Mushroom]|h|r inflict high damage to all players if they fail to hit a player.
$bullet; |cFF2959D3|Hspell:421398|h[Fire Beam]|h|r inflicts Fire damage to players within its area."
28329,Damage Dealers,"$bullet; |cFF2959D3|Hspell:424140|h[Supernova]|h|r is interrupted when its absorb shield is depleted.
$bullet; |cFF2959D3|Hspell:424497|h[Mass Entanglement]|h|r holds players in place until the roots are destroyed.
$bullet; |cFF2959D3|Hspell:424581|h[Fiery Growth]|h|r creates |cFF2959D3|Hspell:425451|h[Scorching Ground]|h|r when dispelled."
28330,Damage Dealers,"$bullet; |cFF2959D3|Hspell:424140|h[Supernova]|h|r is interrupted when its absorb shield is depleted.
$bullet; |cFF2959D3|Hspell:424497|h[Mass Entanglement]|h|r holds players in place until the roots are destroyed."
28331,Healers,"$bullet; |cFF2959D3|Hspell:424581|h[Fiery Growth]|h|r creates |cFF2959D3|Hspell:425451|h[Scorching Ground]|h|r when dispelled.
$bullet; |cFF2959D3|Hspell:424579|h[Suppressive Ember]|h|r is used in Treant form and absorbs a substantial amount of healing.
$bullet; Tindral continuously blasts the group with |cFF2959D3|Hspell:420240|h[Sunflame]|h|r while in his Moonkin form."
28332,Healers,"$bullet; |cFF2959D3|Hspell:424579|h[Suppressive Ember]|h|r is used in Treant form and absorbs a substantial amount of healing.
$bullet; Tindral continuously blasts the group with |cFF2959D3|Hspell:420240|h[Sunflame]|h|r while in his Moonkin form."
28333,Healers,"$bullet; |cFF2959D3|Hspell:429166|h[Astral Heat]|h|r gradually increases damage taken from |cFF2959D3|Hspell:424140|h[Supernova]|h|r.
$bullet; |cFF2959D3|Hspell:424581|h[Fiery Growth]|h|r creates |cFF2959D3|Hspell:425451|h[Scorching Ground]|h|r when dispelled.
$bullet; |cFF2959D3|Hspell:424579|h[Suppressive Ember]|h|r is used in Treant form and absorbs a substantial amount of healing.
$bullet; Tindral continuously blasts the group with |cFF2959D3|Hspell:420240|h[Sunflame]|h|r while in his Moonkin form."
28334,Tainted Flora,"Shadowflame from Gnarlroot's Flaming Pestilence seeps into the earth, sowing hostile vegetation.
$[!16 
On Mythic difficulty, the creatures spawn in a dormant state, awakening when infused by |cFF2959D3|Hspell:422023|h[Shadow-Scorched Earth]|h|r or |cFF2959D3|Hspell:421013|h[Doom Cultivation]|h|r.$]
$[!15 
On Heroic difficulty, the creatures spawn in a dormant state, awakening when infused by |cFF2959D3|Hspell:422023|h[Shadow-Scorched Earth]|h|r or |cFF2959D3|Hspell:421013|h[Doom Cultivation]|h|r.$]"
28335,Tainted Lasher,
28336,Tainted Bloom,
28337,<PH> Probably a bolt (thematic),
28338,Section 33,
28339,Section 34,
28344,Tainted Flora,"Shadowflame from Gnarlroot's Flaming Pestilence seeps into the earth, sowing hostile vegetation.
$[!16 
On Mythic difficulty, the creatures spawn in a dormant state, awakening when infused by |cFF2959D3|Hspell:422023|h[Shadow-Scorched Earth]|h|r or |cFF2959D3|Hspell:421013|h[Doom Cultivation]|h|r.$]
$[!15 
On Heroic difficulty, the creatures spawn in a dormant state, awakening when infused by |cFF2959D3|Hspell:422023|h[Shadow-Scorched Earth]|h|r or |cFF2959D3|Hspell:421013|h[Doom Cultivation]|h|r.$]"
28345,Tainted Lasher,
28346,Tainted Bloom,
28347,<PH> Probably a bolt (thematic),
28348,Section 33,
28349,Section 34,
28350,Tainted Treant,
28351,Tainted Bloom,
28352,Section 24,
28353,Section 25,
28354,Section 12,"$[!8,23,

On Mythic difficulty, Unleash Corruption also shatters Void Chunks into the playspace. $]"
28355,Stage One: Rapid Iteration,
28356,Stage Two: Creation Complete,
28357,Section 33,"$[!16

In Mythic difficulty, a Manifested Dream amalgamates from the surge in life energy.$]"
28363,Section 33,
28364,Section 32,
28367,Section 60,
28368,Scorched Treant,
28369,Scorched Treant,
28370,Section 60,"$[!16

In Mythic difficulty, if the fiery vine fails to root a player or if the root is removed before it is destroyed, a Scorched Treant is formed at its location."
28371,Scorched Treant,
28372,Scorched Treant,
28373,Section 60,"$[!16

In Mythic difficulty, if the fiery vine fails to root a player or if the root is removed before it is destroyed, a Scorched Treant is formed at its location."
28374,Scorched Treant,
28375,Scorched Treant,
28376,Section 32,
28377,Section 33,"$[!16

 In Mythic difficulty, Verdant Rend is also cast every $423842s2 sec while only 1 Cycle Warden remains alive.$]"
28378,Section 31,
28379,Section 35,
28380,Section 10,
28383,Section 10,
28384,Section 10,
28386,Section 10,
28387,Section 10,
28388,Section 10,
28389,Section 10,
28390,Section 10,
28391,Section 10,
28392,Section 10,
28393,Overview,"Avanoxx consumes with |cFF2959D3|Hspell:438471|h[Voracious Bites]|h|r and signals to Starved Crawlers with |cFF2959D3|Hspell:438476|h[Alerting Shrill]|h|r that grow in |cFF2959D3|Hspell:438490|h[Hunger]|h|r over time. 

Avanoxx unleashes |cFF2959D3|Hspell:438473|h[Gossamer Onslaught]|h|r and causes additional undercrawler eggs to fall from above. |cFF2959D3|Hspell:434830|h[Vile Webbing]|h|r serves as the perfect trap for her prey.
$[!8,23 
In Mythic difficulty, Avanoxx becomes |cFF2959D3|Hspell:446788|h[Insatiable]|h|r.$]"
28394,Tank,"$bullet;|cFF2959D3|Hspell:438471|h[Voracious Bite]|h|r inflicts heavy damage to its target and increases damage taken for a period of time.
$bullet; Standing in |cFF2959D3|Hspell:434830|h[Vile Webbing]|h|r causes |cFF2959D3|Hspell:436614|h[Web Wrap]|h|r.
$bullet;|cFF2959D3|Hspell:438490|h[Hunger]|h|r causes Starved Crawlers to fixate on other players."
28395,Damage Dealers,"$bullet; Standing in |cFF2959D3|Hspell:434830|h[Vile Webbing]|h|r causes |cFF2959D3|Hspell:436614|h[Web Wrap]|h|r.
$bullet; Starved Crawlers grow in |cFF2959D3|Hspell:438490|h[Hunger]|h|r over time."
28396,Healer,"$bullet; Standing in |cFF2959D3|Hspell:434830|h[Vile Webbing]|h|r causes |cFF2959D3|Hspell:436614|h[Web Wrap]|h|r.
$bullet;|cFF2959D3|Hspell:438476|h[Alerting Shrill]|h|r and |cFF2959D3|Hspell:438473|h[Gossamer Onslaught]|h|r inflict substantial party-wide damage.
$bullet;|cFF2959D3|Hspell:438471|h[Voracious Bite]|h|r inflicts heavy damage to its target and increases damage taken for a period of time."
28397,,
28400,Overview,"Anub'zekt fights fiercely alongside his brood, attacking with brutal |cFF2959D3|Hspell:433425|h[Impale]|h|r attacks while |cFF2959D3|Hspell:433747|h[Ceaseless Swarms]|h|r roam the battlefield. Upon reaching 100 energy, he calls upon his entire brood, dragging enemies into the |cFF2959D3|Hspell:433766|h[Eye of the Swarm]|h|r."
28401,Tanks,"$bullet; Anub'zekt fires |cFF2959D3|Hspell:433425|h[Impale]|h|r in front of himself, inflicting high damage and knocking back players hit.
$bullet; |cFF2959D3|Hspell:433766|h[Eye of the Swarm]|h|r surrounds the arena and limits mobility."
28402,Damage Dealers,"$bullet; |Hspell:433747|h[Ceaseless Swarms]|h|r burst forth from players infected by|cFF2959D3|Hspell:433740|h[Infestation]|h|r .
$bullet; |cFF2959D3|Hspell:433677|h[Burrow Charge]|h|r inflicts high damage to players in a line in front of Anub'zekt."
28403,Healers,"$bullet; |Hspell:433747|h[Ceaseless Swarms]|h|r burst forth from players infected by|cFF2959D3|Hspell:433740|h[Infestation]|h|r .
$bullet; |cFF2959D3|Hspell:433766|h[Eye of the Swarm]|h|r surrounds the arena and limits mobility."
28404,Stage One: <PH>,
28405,Section 7,
28406,Stage Two: <PH>,
28407,Overview,"A stream of Bloodworkers ferry |cFF2959D3|Hspell:431985|h[Black Blood]|h|r for Ki'katal the Harvester. When struck, they drop their slime cargo and flee.

Upon reaching 100 energy, Ki'katal the Harvester manifests a |cFF2959D3|Hspell:432117|h[Cosmic Singularity]|h|r, pulling all players in towards the detonation."
28408,Tanks,"$bullet;Stepping within Black Blood causes |cFF2959D3|Hspell:432031|h[Grasping Blood]|h|r to root players in place and prevent them from moving.
$bullet;|cFF2959D3|Hspell:432117|h[Cosmic Singularity]|h|r pulls all players in and inflicts high damage."
28409,Damage Dealers,"$bullet;Stepping within Black Blood causes |cFF2959D3|Hspell:432031|h[Grasping Blood]|h|r to root players in place and prevent them from moving.
$bullet;|cFF2959D3|Hspell:432117|h[Cosmic Singularity]|h|r pulls all players in and inflicts high damage."
28410,Healers,"$bullet;Stepping within Black Blood causes |cFF2959D3|Hspell:432031|h[Grasping Blood]|h|r to root players in place and prevent them from moving.
$bullet;|cFF2959D3|Hspell:432117|h[Cosmic Singularity]|h|r pulls all players in and inflicts high damage."
28411,Bloodworkers,Bloodworkers carry Black Blood. Any damage taken causes the drone to drop it and flee.
28414,Overview,"Brew Master Aldryr harnesses the explosive power of Cinderbrew, assaulting players with |cFF2959D3|Hspell:432198|h[Blazing Belch]|h|r and |cFF2959D3|Hspell:432182|h[Throw Cinderbrew]|h|r.

Upon reaching 100 energy, Brew Master Aldryr begins |cFF2959D3|Hspell:442525|h[Happy Hour]|h|r and causes Thirsty Patrons to unleash a |cFF2959D3|Hspell:431896|h[Rowdy Yell]|h|r."
28415,Tanks,"$bullet;Thirsty Patrons' |cFF2959D3|Hspell:431896|h[Rowdy Yell]|h|r inflicts Physical damage to all players until appeased.
$bullet;|cFF2959D3|Hspell:432229|h[Keg Smash]|h|r inflicts high Physical damage and leaves pools of |cFF2959D3|Hspell:432196|h[Hot Honey]|h|r."
28416,Damage Dealers,"$bullet;Thirsty Patrons' |cFF2959D3|Hspell:431896|h[Rowdy Yell]|h|r inflicts Physical damage to all players until appeased.
$bullet;|cFF2959D3|Hspell:432198|h[Blazing Belch]|h|r inflicts high Fire damage to all players in front of Brew Master Aldryr."
28417,Healers,"$bullet;Thirsty Patrons' |cFF2959D3|Hspell:431896|h[Rowdy Yell]|h|r inflicts Physical damage to all players until appeased.
$bullet;|cFF2959D3|Hspell:432182|h[Throw CInderbrew]|h|r inflicts high Fire damage to affected targets."
28420,Thirsty Patron,
28421,Overview,"I'pa embodies Cinderbrew itself, assailing players with |cFF2959D3|Hspell:439202|h[Burning Fermentation]|h|r and |cFF2959D3|Hspell:439365|h[Spouting Stout]|h|r 

Watch out for any Brew Drops making their way to I'pa or they will |cFF2959D3|Hspell:440104|h[Fill 'Er Up]|h|r ! Defeating them temporarily create pools of |cFF2959D3|Hspell:440087|h[Oozing Honey]|h|r until they reform."
28422,Tanks,"$bullet;|cFF2959D3|Hspell:439031|h[Bottoms Uppercut]|h|r inflicts high Physical damage and knocks the player back.
$bullet;|cFF2959D3|Hspell:439365|h[Spouting Stout]|h|r creates Brew Drops and inflicts moderate Fire damage to all players."
28423,Damage Dealers,$bullet;|cFF2959D3|Hspell:439365|h[Spouting Stout]|h|r creates Brew Drops and inflicts moderate Fire damage to all players.
28424,Healers,"$bullet;|cFF2959D3|Hspell:439202|h[Burning Fermentation]|h|r inflicts high Fire damage to afflicted players.
$bullet;|cFF2959D3|Hspell:439365|h[Spouting Stout]|h|r creates Brew Drops and inflicts moderate Fire damage to all players."
28425,I'pa,
28426,Section 7,
28427,Brew Drop,
28428,Overview,"Benk Buzzbee distributes barrels of delicious honey during |cFF2959D3|Hspell:438025|h[Snack Time]|h|r, attracting Ravenous Cinderbees.

Defeated Cinderbees become docile enough to be mounted by players and will charge forward with a |cFF2959D3|Hspell:438763|h[Bee-Haw!]|h|r command."
28429,Tanks,"$bullet;|cFF2959D3|Hspell:440134|h[Honey Marinade]|h|r  drips off targeted players on expiration, creating pools of flaming honey that inflict Fire Damage.
$bullet;|cFF2959D3|Hspell:438025|h[Snack Time]|h|r barrels in the arena will periodically attract Ravenous Cinderbees."
28430,Damage Dealers,"$bullet;At 1 HP, Ravenous Cinderbees become tame enough to be ridden by players.
$bullet;|cFF2959D3|Hspell:438025|h[Snack Time]|h|r barrels are destroyed by the impact of a Ravenous Cinderbee charging forward with a |cFF2959D3|Hspell:438763|h[Bee-Haw!]|h|r"
28431,Healers,"$bullet;|cFF2959D3|Hspell:439524|h[Fluttering Wing]|h|r inflicts moderate Nature damage to all players.
$bullet;Ravenous Cinderbees dart between random players with |cFF2959D3|Hspell:438971|h[Shredding Sting]|h|r, afflicting them with a stacking Bleed debuff."
28435,Overview,"Goldie Baronbottom uses |cFF2959D3|Hspell:435567|h[Spread the Love!]|h|r to launch Cinderbrew Bombs into the area. Goldie's weapon attacks can set nearby Cimderbrew Bombs alight.

Upon reaching 100 energy, Goldie Baronbottom casts |cFF2959D3|Hspell:435622|h[Let It Hail!]|h|r detonating any remaining Cinderbrew Bombs."
28436,Tanks,"$bullet;|cFF2959D3|Hspell:435622|h[Let It Hail]|h|r detonates any remaining Cinderbrew Bombs.
$bullet;|cFF2959D3|Hspell:435789|h[Cindering Wounds]|h|r iinflicts heavy Fire damage over a short duration to all players for each Cinderbrew Bomb that detonates.
$bullet;|cFF2959D3|Hspell:436592|h[Cash Cannon]|h|r ignites nearby Cinderbrew Bombs, causing them to explode."
28437,Damage Dealers,"$bullet;|cFF2959D3|Hspell:435622|h[Let It Hail]|h|r detonates any remaining Cinderbrew Bombs.
$bullet;|cFF2959D3|Hspell:435789|h[Cindering Wounds]|h|r iinflicts heavy Fire damage over a short duration to all players for each Cinderbrew Bomb that detonates.
$bullet;|cFF2959D3|Hspell:436640|h[Burning Ricochet]|h|r bounces to nearby players and Cinderbrew Bombs."
28438,Healers,"$bullet;|cFF2959D3|Hspell:435622|h[Let It Hail]|h|r detonates any remaining Cinderbrew Bombs and inflicts heavy Physical damage to all players.
$bullet;|cFF2959D3|Hspell:435789|h[Cindering Wounds]|h|r iinflicts heavy Fire damage over a short duration to all players for each Cinderbrew Bomb that detonates.
$bullet;|cFF2959D3|Hspell:436640|h[Burning Ricochet]|h|r inflicts heavy Fire damage over time to afflicted players."
28439,Stage One: <PH>,"$[!8,23,

On Mythic difficulty, some Cinderbrew Bombs are replaced with Volatile Barrels.$]"
28442,Section 10,
28444,Section 10,
28445,Section 10,
28449,Section 15,
28454,Section 36,"$[!15

In Heroic difficulty, Weaver's Burden applies Woven Resonance and spreads to additional players. Upon expiration, a Barrier Blossom springs to life at the target's location.$]"
28455,Section 37,
28456,Section 38,
28457,Section 35,
28458,Overview,"Speakers Brokk and Dorlita call on metal and machinary to help them strike their foes down. Brokk calls a scrap cube with |cFF2959D3|Hspell:428202|h[Scrap Song]|h|r and hurls it at players, only to be |cFF2959D3|Hspell:428508|h[Deconstructed]|h|r by Dorlita in her mech suit."
28459,Speaker Brokk,
28461,Speaker Dorlita,
28462,Section 5,
28463,Damage Dealers,"$bullet; Speaker Brokk will attempt to cast |cFF2959D3|Hspell:428161|h[Molten Metal]|h|r inflicting damage and slowing players.

$bullet; Speaker Dorlita targets players with |cFF2959D3|Hspell:428120|h[Lava Expulsion]|h|r firing a giant lava orb at the player inflicting fire damage."
